winner,pokemon1_p1,pokemon2_p1,pokemon3_p1,pokemon4_p1,pokemon5_p1,pokemon6_p1,pokemon1_p2,pokemon2_p2,pokemon3_p2,pokemon4_p2,pokemon5_p2,pokemon6_p2
1,Dondozo,Tatsugiri,Ogerpon,Iron Hands,Ninetales,Glimmora,Weezing,Landorus,Ogerpon,Heatran,Rillaboom,Iron Hands
1,Tornadus,Sinistcha,Basculegion,Iron Hands,Arcanine,Ninetales,Tornadus,Arcanine,Gastrodon,Rillaboom,Chi,Iron Valiant
2,Urshifu,Landorus,Ogerpon,Thundurus,Rillaboom,Kingambit,Armarouge,Indeedee,Torkoal,Ursaluna,Gallade,Urshifu
2,Gholdengo,Roaring Moon,Rillaboom,Arcanine,Urshifu,Kingambit,Ogerpon,Dondozo,Tatsugiri,Flutter Mane,Glimmora,Urshifu
1,Dondozo,Tatsugiri,Rillaboom,Volcarona,Kingambit,Scizor,Arcanine,Rillaboom,Tornadus,Flutter Mane,Urshifu,Chien
1,Heatran,Grimmsnarl,Sneasler,Wo,Flutter Mane,Ogerpon,Torkoal,Oranguru,Ursaluna,Sinistcha,Annihilape,Iron Hands
1,Tornadus,Urshifu,Ogerpon,Kingambit,Flutter Mane,Baxcalibur,Lycanroc,Tornadus,Urshifu,Farigiraf,Sinistcha,Iron Bundle
1,Brambleghast,Ting,Tornadus,Urshifu,Annihilape,Ogerpon,Garchomp,Tornadus,Brambleghast,Urshifu,Gastrodon,Gholdengo
1,Ninetales,Arcanine,Iron Hands,Sinistcha,Cresselia,Ursaluna,Ogerpon,Dondozo,Tatsugiri,Flutter Mane,Glimmora,Urshifu
2,Chi,Flutter Mane,Iron Bundle,Sinistcha,Dondozo,Goodra,Ursaluna,Sinistcha,Landorus,Dragapult,Heatran,Zapdos
2,Annihilape,Maushold,Iron Bundle,Landorus,Chi,Sinistcha,Tatsugiri,Chi,Chien,Flutter Mane,Dondozo,Arcanine
2,Staraptor,Urshifu,Farigiraf,Ursaluna,Scream Tail,Torkoal,Cresselia,Gholdengo,Rillaboom,Regidrago,Urshifu,Tornadus
1,Chandelure,Tornadus,Azumarill,Urshifu,Rillaboom,Flutter Mane,Staraptor,Urshifu,Farigiraf,Ursaluna,Scream Tail,Torkoal
2,Arcanine,Rillaboom,Tornadus,Flutter Mane,Urshifu,Chien,Ninetales,Chi,Weezing,Iron Bundle,Urshifu,Rillaboom
1,Politoed,Urshifu,Thundurus,Flutter Mane,Iron Hands,Dragonite,Ogerpon,Dondozo,Tatsugiri,Flutter Mane,Glimmora,Urshifu
1,Tornadus,Chi,Urshifu,Dragapult,Indeedee,Armarouge,Lycanroc,Iron Bundle,Tornadus,Urshifu,Farigiraf,Rillaboom
2,Piloswine,Empoleon,Roaring Moon,Ogerpon,Flutter Mane,Cresselia,Heatran,Urshifu,Farigiraf,Dragonite,Chien,Rillaboom
1,Ogerpon,Landorus,Iron Hands,Flutter Mane,Roaring Moon,Gholdengo,Dondozo,Tatsugiri,Chien,Dragonite,Glimmora,Ogerpon
1,Ogerpon,Chi,Ursaluna,Dusclops,Iron Hands,Landorus,Lycanroc,Tornadus,Urshifu,Farigiraf,Sinistcha,Iron Bundle
1,Ting,Kommo,Rillaboom,Ogerpon,Urshifu,Flutter Mane,Regieleki,Iron Bundle,Rillaboom,Urshifu,Ogerpon,Landorus
2,Regidrago,Gholdengo,Tornadus,Farigiraf,Urshifu,Rillaboom,Arcanine,Rillaboom,Tornadus,Flutter Mane,Urshifu,Chien
2,Tornadus,Chi,Iron Hands,Flutter Mane,Torkoal,Landorus,Lycanroc,Tornadus,Urshifu,Farigiraf,Sinistcha,Iron Bundle
2,Flutter Mane,Chi,Goodra,Dondozo,Sinistcha,Armarouge,Tornadus,Chien,Arcanine,Rillaboom,Flutter Mane,Urshifu
2,Empoleon,Rillaboom,Roaring Moon,Moltres,Grimmsnarl,Landorus,Rillaboom,Chien,Arcanine,Urshifu,Tornadus,Landorus
1,Kingambit,Chien,Heatran,Flutter Mane,Landorus,Gastrodon,Armarouge,Indeedee,Torkoal,Flutter Mane,Iron Hands,Annihilape
1,Dragonite,Chien,Tatsugiri,Dondozo,Chi,Flutter Mane,Indeedee,Jumpluff,Torkoal,Armarouge,Ursaluna,Urshifu
1,Dondozo,Tatsugiri,Glimmora,Maushold,Flutter Mane,Tornadus,Chesnaught,Clefairy,Rillaboom,Arcanine,Farigiraf,Urshifu
2,Dragonite,Roaring Moon,Flutter Mane,Annihilape,Armarouge,Indeedee,Dragonite,Chien,Tatsugiri,Dondozo,Chi,Flutter Mane
1,Arcanine,Chien,Rillaboom,Urshifu,Flutter Mane,Ogerpon,Dondozo,Tatsugiri,Ninetales,Glimmora,Iron Hands,Ogerpon
1,Flutter Mane,Dusclops,Iron Hands,Ursaluna,Dragonite,Urshifu,Armarouge,Indeedee,Torkoal,Ursaluna,Urshifu,Lilligant
1,Dusclops,Ursaluna,Vivillon,Sylveon,Heatran,Indeedee,Tatsugiri,Chi,Chien,Flutter Mane,Dondozo,Arcanine
2,Dondozo,Tatsugiri,Rillaboom,Volcarona,Kingambit,Clefairy,Articuno,Heatran,Chien,Iron Hands,Landorus,Ninetales
2,Urshifu,Baxcalibur,Ogerpon,Thundurus,Rillaboom,Kingambit,Urshifu,Flutter Mane,Arcanine,Tornadus,Iron Hands,Kingambit
2,Rillaboom,Grimmsnarl,Urshifu,Garganacl,Flutter Mane,Roaring Moon,Armarouge,Indeedee,Torkoal,Ursaluna,Gallade,Iron Hands
1,Tornadus,Landorus,Iron Hands,Gholdengo,Urshifu,Ogerpon,Ogerpon,Landorus,Iron Hands,Flutter Mane,Roaring Moon,Gholdengo
1,Ogerpon,Landorus,Iron Hands,Flutter Mane,Roaring Moon,Gholdengo,Urshifu,Landorus,Ogerpon,Thundurus,Rillaboom,Kingambit
2,Flutter Mane,Iron Bundle,Chi,Goodra,Ogerpon,Dondozo,Tornadus,Sinistcha,Basculegion,Iron Hands,Arcanine,Ninetales
2,Farigiraf,Landorus,Urshifu,Arcanine,Iron Bundle,Rillaboom,Annihilape,Maushold,Iron Bundle,Chi,Landorus,Sinistcha
2,Ninetales,Arcanine,Iron Hands,Sinistcha,Cresselia,Ursaluna,Heatran,Flutter Mane,Amoonguss,Tornadus,Urshifu,Iron Hands
1,Armarouge,Indeedee,Torkoal,Ursaluna,Okidogi,Gallade,Ogerpon,Tyranitar,Tornadus,Rillaboom,Cresselia,Gholdengo
2,Flutter Mane,Ogerpon,Goodra,Chi,Grimmsnarl,Cresselia,Dragonite,Flamigo,Flutter Mane,Tauros,Cryogonal,Salazzle
1,Dragonite,Flamigo,Flutter Mane,Tauros,Cryogonal,Salazzle,Fezandipiti,Urshifu,Heatran,Dragapult,Zapdos,Shiftry
2,Dondozo,Tatsugiri,Glimmora,Heatran,Rillaboom,Kleavor,Garchomp,Tornadus,Brambleghast,Urshifu,Gastrodon,Gholdengo
1,Arcanine,Tyranitar,Rillaboom,Kommo,Iron Bundle,Flutter Mane,Tornadus,Urshifu,Ogerpon,Flutter Mane,Landorus,Iron Hands
2,Urshifu,Flutter Mane,Ogerpon,Tornadus,Iron Hands,Kingambit,Ogerpon,Flutter Mane,Chien,Dragonite,Rillaboom,Heatran
2,Amoonguss,Urshifu,Dragonite,Chien,Kingambit,Ogerpon,Chi,Iron Hands,Landorus,Dusclops,Ogerpon,Ursaluna
